city,state,Total_HH,THH_MOE,Total_Unmarried,TU_MOE,Male_Male_HH,MMHH_MOE,Female_Female_HH,FFHH_MOE,All_Other_HH,AOH_MOE
Collegeationyan,TX,68741,2098,5037,1293,0,211,350,321,63704,2367
Colorado Springs,CO,222921,3305,13869,1979,229,193,902,426,209052,3572
Columbia,MO,51641,2162,3405,1294,27,45,152,179,48236,2161
Columbia,SC,214870,3574,11267,1785,372,240,568,305,203603,3651
Columbus,AL,97980,3027,6115,1482,0,187,124,146,91865,3106
Columbus,OH,564852,4599,41787,3453,2107,585,1977,511,523065,5285
Concord,CA,240044,3959,10607,1851,308,233,346,209,229437,4445
Concord,NC,83255,2494,3225,750,59,75,80,97,80030,2584
Conroeeodlands,TX,97266,4037,4008,1405,78,133,285,341,93258,4140
Conway,AR,26494,1086,2436,979,29,52,61,96,24058,1245
Corpus Christi,TX,122829,2386,7380,1458,285,220,323,259,115449,2788
Dallas,TX,1953157,9664,114845,5780,4466,867,4553,959,1838312,10487
Dalton,GA,30065,1780,1468,568,0,211,0,211,28597,1865
Danbury,NY,59660,2156,3649,944,67,111,0,187,56011,2123
Daphneirhope,AL,24067,1990,690,403,0,189,43,75,23377,1960
Davenport,IL,113766,1692,8369,1354,159,122,263,172,105397,1929
Davis,CA,26946,1539,1269,484,91,111,0,200,25677,1536
Dayton,OH,298331,3586,16257,1808,353,237,476,290,282074,3704
Decatur,AL,27796,1352,1134,613,0,189,115,138,26662,1563
Decatur,IL,36961,1521,2201,653,35,44,90,101,34760,1501
DeKalb,IL,23908,1452,2060,795,36,60,71,120,21848,1410
Deltona,FL,68942,3064,4740,1146,158,205,196,164,64202,3104
Dentonwisville,TX,140228,2434,7770,1458,136,139,420,205,132458,2699
Denver,CO,983392,5026,65496,4078,2834,722,3343,838,917896,6146
Desines,IA,188865,2661,13285,1771,86,98,449,323,175580,3037
Detroit,MI,1441378,6554,81571,4368,1757,535,1950,534,1359807,7982
Dothan,AL,26914,957,1314,296,22,25,49,55,25600,917
Dover,DE,40516,1800,1916,684,0,185,142,108,38600,1748
Doverchester,ME,32886,1565,2969,902,0,187,61,98,29917,1680
Dubuque,IL,28549,910,1780,569,0,187,0,187,26769,1050
Duluth,WI,50541,1850,3733,727,63,103,162,128,46808,1793
Durham,NC,147760,3044,8286,1371,340,235,515,287,139474,2910
Eauaire,WI,43676,1602,4031,1100,84,143,174,217,39645,1642
Elntrolexico,CA,28316,1855,1449,710,0,200,0,200,26867,1962
Elizabethtowndcliff,KY,27519,1322,1510,793,0,185,0,185,26009,1163
Elkhart,MI,53526,1703,4506,1171,147,218,71,115,49020,2038
Elmira,NY,26438,1453,3482,850,104,128,0,189,22956,1545
El Paso,TX,251450,3154,9673,1677,406,344,591,337,241777,3509
El Paso de Robles (Paso Robles) Atascadero,CA,24121,1593,1011,507,0,200,48,79,23110,1626
Erie,PA,79396,1969,4700,970,401,352,112,109,74696,2006
Eugene,OR,102394,2375,9528,1540,190,160,307,275,92866,2629
Evansville,KY,95024,2541,5948,1327,73,85,106,127,89076,2879
Fairbanks,AK,22862,1538,1929,755,25,43,34,57,20933,1446
Fairfield,CA,44404,2086,2357,771,0,200,0,200,42047,2161
Fargo,MN,80307,2021,6195,1431,236,317,83,129,74112,2147
Fayetteville,NC,120360,2342,5891,975,164,168,153,183,114469,2458
Fayetteville Springdale Rogers ,MO,117708,2911,7533,1469,436,368,218,181,110175,3340
Flagstaff,AZ,25027,1770,1286,442,0,200,49,79,23741,1854
Flint,MI,142311,2783,11760,1807,219,212,60,102,130551,3086
Florence,AL,33366,1635,1757,772,45,55,26,44,31609,1660
Florence,SC,35726,2029,921,462,0,200,0,200,34805,2083
Fortllins,CO,110426,2567,8074,1509,53,92,117,112,102352,2673
Fortith,OK,47247,2142,1994,750,83,135,134,130,45253,2116
Fort Walton Beach Navarre Wright,FL,79501,2784,5344,1277,267,256,250,309,74157,2810
Fort Wayne,IN,123430,2378,9561,1383,167,126,242,170,113869,2597
Frederick,MD,55902,1596,3678,1060,47,79,103,95,52224,1871
Fredericksburg,VA,52580,1986,2748,742,121,140,69,112,49832,2057
Fresno,CA,218609,3289,18991,2739,464,316,425,284,199618,4150
Gainesville,FL,73824,3120,5298,1206,260,219,175,159,68526,3106
Gainesville,GA,46121,1599,3224,1079,0,211,71,86,42897,1551
Gastonia,SC,62878,1975,3158,908,287,334,197,200,59720,1911
Gilroy Morgan Hill,CA,33517,1501,1741,696,0,200,0,200,31776,1731
Glens Falls,NY,26660,1892,2787,786,0,189,199,319,23873,1883
Grand Forks ,MN,27559,1000,2018,763,52,84,0,187,25541,961
Grand Junction,CO,51430,1621,2159,644,108,179,0,192,49271,1761
Grand Rapids,MI,218745,3239,14437,1963,448,239,168,131,204308,3204
Great Falls,MT,27903,950,1647,495,0,161,0,161,26256,1081
Greeley,CO,43865,1835,2423,752,28,48,197,201,41442,1880
Green Bay,WI,84647,1824,7092,1303,122,118,138,115,77555,2126
Greensboro,NC,128829,3741,6874,1556,299,258,214,166,121955,3393
Greenville,NC,49197,1898,4640,1290,180,210,76,97,44557,2159
Greenville,SC,157828,3269,8762,1430,262,193,562,533,149066,3470
Gulfport,MS,86498,3178,6322,1563,71,120,199,180,80176,3397
Hagerstown,PA,67758,2288,4893,1208,100,132,83,104,62865,2590
Hammond,LA,23956,2105,842,576,0,201,0,201,23114,2065
Hanford,CA,28506,1326,2325,954,0,200,0,200,26181,1571
Hanover,PA,25933,1358,1615,625,44,74,38,66,24318,1340
Harlingen,TX,42534,2266,2428,692,0,211,95,156,40106,2447
Harrisburg,PA,187094,3440,13981,2199,605,367,284,214,173113,3660
Harrisonburg,VA,23838,944,1241,649,0,195,83,131,22597,1084
Hartford,CT,358452,3677,22529,2124,646,462,560,284,335923,3669
Hattiesburg,MS,30587,1764,2083,966,0,206,24,44,28504,1662
Hemet,CA,57930,3195,5045,1198,152,239,276,355,52885,3307
Hickory,NC,76537,2731,4738,1163,134,133,115,155,71799,2758
High Point,NC,63918,2734,4231,1071,67,111,374,336,59687,2509
Hilton Head Island,SC,29127,1844,1686,693,116,207,74,96,27441,1770
Holland,MI,36701,1602,1893,719,0,165,87,152,34808,1747
Homosassa Springs Beverly Hills Citrus Springs,FL,33587,2307,1408,616,57,96,0,214,32179,2280
Houma,LA,52863,2396,4428,1350,43,69,63,119,48435,2482
Houston,TX,1845374,9236,104242,5141,4085,1006,5142,1311,1741132,11050
Huntington,OH,83683,2411,5137,1059,50,79,154,134,78546,2703
Huntsville,AL,119788,2576,3443,976,306,387,130,133,116345,2856
Idaho Falls,ID,30976,1360,1801,835,0,190,300,351,29175,1563
Indianapolis,IN,588042,5772,41341,3370,2067,710,2109,613,546701,6359
Indio Cathedral City,CA,139157,3111,10975,1539,2360,633,299,178,128182,3195
Iowa city,IA,45994,1690,3800,1060,300,297,215,229,42194,2085
Jackson,MI,34797,1632,3642,843,45,70,125,154,31155,1584
Jackson,MS,130325,2957,5183,1193,319,303,25,42,125142,3080
Jackson,TN,28178,1242,873,473,0,198,22,40,27305,1359
Jacksonville,FL,416739,5749,24685,2612,488,289,1362,812,392054,6186
Jacksonville,NC,32920,1991,1236,602,0,198,25,43,31684,2043
Janesville,WI,27397,1168,2001,628,0,145,26,43,25396,1313
Johnsonty,TN,52098,2072,3791,1084,112,129,159,160,48307,2200
Johnstown,PA,28559,1250,1450,465,47,57,68,112,27109,1189
Jonesboro,AR,26509,1493,2124,884,197,247,82,140,24385,1593
Joplin,MO,32022,1565,2845,835,135,139,0,181,29177,1577
