city,state,hisp_count,hisp_MOE
Kermit,TX,3129,202
Kerrville,TX,7164,626
Kewanee,IL,1339,237
Key Biscayne,FL,7134,638
Key West,FL,7558,744
Kihei,HI,3031,590
Kilgore,TX,2001,410
Killeen,TX,39497,1523
Kimberly,ID,538,237
King City,CA,10596,591
Kingman,AZ,5391,785
Kingsland,TX,2123,497
Kingsport,TN,1682,289
Kingston,NY,4346,585
Kingsville,TX,18037,309
Kinston,NC,1031,343
Kissimmee,FL,112819,2745
Klamath Falls,OR,4643,376
Knoxville,TN,16023,770
Kokomo,IN,1928,157
Labelle,FL,5806,1323
La Crosse WI,MN,1400,171
Lady Lake,FL,3552,806
Lafayette,IN,10487,512
Lafayette,LA,6896,420
Lafayette,OR,966,227
Lafayette Louisville,CO,7312,773
LaGrange,GA,1300,253
La Grulla,TX,6399,957
Lahaina Napili-Honokowai,HI,2065,595
Laie Hauula,HI,758,247
La Junta,CO,3320,329
Lake Charles,LA,3571,273
Lake City,FL,1063,328
Lake Conroe Westshore,TX,1402,506
Lake Geneva,WI,2516,709
Lake Havasu City,AZ,6395,743
Lake Jackson Angleton,TX,26187,1338
Lakeland,FL,30105,2003
Lake Los Angeles,CA,6256,1073
Lakeport,CA,2080,467
Lakeway,TX,3551,725
Lamar,CO,2867,204
Lamesa,TX,6620,162
Lampasas,TX,1831,271
Lancaster,PA,37793,653
Lancaster,SC,1844,240
Lancaster Palmdale,CA,137908,3422
Lansing,MI,22269,469
Lapeer,MI,791,266
Laplace,LA,1769,233
Laramie,WY,2644,189
Laredo,TX,198808,1223
Las Animas,CO,1123,372
Las Cruces,NM,70135,1645
Las Vegas,NV,470227,2616
Las Vegas,NM,14277,621
Laurel,MS,2004,410
Laureles,TX,3641,1082
Lawrence,KS,4443,239
Lawton,OK,10526,296
Leadville,CO,2645,194
Leavenworth,KS,2881,240
Lebanon NH,VT,1088,200
Lebanon,OR,1019,328
Lebanon,PA,9745,354
Lebanon,TN,1471,337
Leesburg Eustis,FL,6871,811
Lee's Summit,MO,1995,588
Leesville,LA,783,179
Lehigh Acres,FL,13906,1520
Lehman township (Pike County),PA,1568,710
Lemoore Station,CA,823,375
Leominster Fitchburg,MA,14425,1276
Levelland,TX,6472,303
Lewisburg,TN,792,191
Lewiston ID,WA,1578,81
Lewiston,ME,733,183
Lexington,NE,6203,274
Lexington,NC,3457,545
Lexington-Fayette,KY,16142,533
Liberal,KS,10939,379
Liberty,NY,1117,362
Liberty,TX,1347,402
Ligonier,IN,2428,412
Lihue,HI,1084,313
Lima,OH,2033,159
Lincoln,CA,4149,551
Lincoln,IL,654,115
Lincoln,NE,14322,308
Lincoln City,OR,1238,401
Lincolnton,NC,2364,391
Lindsay,CA,12146,726
Little Elm,TX,3490,700
Littlefield,TX,3011,350
Little Rock,AR,20243,735
Live Oak (Sutter County),CA,4277,420
Livermore,CA,15122,1063
Livingston,CA,9330,765
Lockhart,TX,5241,577
Lockport,NY,1433,355
Lodi,CA,32016,1670
Logan,UT,8502,369
Logansport,IN,3922,288
